OpenTime,XMR-USD_Open,XMR-USD_High,XMR-USD_Low,XMR-USD_Close,XMR-USD_Volume,CloseTime,XMR-QuoteAssetVolume,XMR-NumberOfTrades,XMR-TBBAV,XMR-TBQAV,XMR-ignore
2022-05-01 01:00:00,214.1,219.2,210.1,217.5,13027.541,2022-05-01 01:59:59.999,2784245.5314,9388.0,5793.796,1241588.6784,0.0
2022-05-01 02:00:00,217.5,223.0,212.7,223.0,10596.887,2022-05-01 02:59:59.999,2313467.6727,7443.0,4702.801,1027197.6306,0.0
2022-05-01 03:00:00,222.9,228.2,221.0,221.3,10883.787,2022-05-01 03:59:59.999,2442810.3443,7046.0,5549.328,1246093.4637,0.0
2022-05-01 04:00:00,221.5,225.0,220.9,223.5,4362.529,2022-05-01 04:59:59.999,974509.646,2516.0,1943.704,434150.0336,0.0
2022-05-01 05:00:00,223.5,225.9,220.4,225.1,5272.862,2022-05-01 05:59:59.999,1176267.9364,3983.0,2836.166,632874.5387,0.0
2022-05-01 06:00:00,225.1,226.1,222.6,223.3,3436.955,2022-05-01 06:59:59.999,770740.6091,2203.0,1832.802,410913.5808,0.0
2022-05-01 07:00:00,223.5,225.7,222.3,223.2,4567.859,2022-05-01 07:59:59.999,1021686.7431,2531.0,2205.188,493293.0042,0.0
2022-05-01 08:00:00,223.2,223.3,221.5,222.5,2925.339,2022-05-01 08:59:59.999,649920.5214,1649.0,1451.077,322429.3992,0.0
2022-05-01 09:00:00,222.4,224.5,219.9,220.7,3373.994,2022-05-01 09:59:59.999,748229.7493,2265.0,1363.009,302398.3811,0.0
2022-05-01 10:00:00,220.9,221.0,218.0,218.2,4695.302,2022-05-01 10:59:59.999,1028300.2541,2124.0,1853.758,406193.3098,0.0
2022-05-01 11:00:00,218.2,219.3,216.7,218.5,2979.88,2022-05-01 11:59:59.999,649310.141,1830.0,1553.901,338924.9242,0.0
2022-05-01 12:00:00,218.5,219.9,214.3,214.6,6671.015,2022-05-01 12:59:59.999,1449184.7647,3045.0,2738.239,595094.8085,0.0
2022-05-01 13:00:00,214.8,215.6,210.7,211.8,8911.123,2022-05-01 13:59:59.999,1890491.5774,4544.0,4790.591,1016440.6112,0.0
2022-05-01 14:00:00,211.8,214.3,211.5,212.3,4454.136,2022-05-01 14:59:59.999,947447.8243,3559.0,2561.136,544834.8217,0.0
2022-05-01 15:00:00,212.4,212.4,210.1,211.4,5617.026,2022-05-01 15:59:59.999,1187087.8698,2713.0,2194.284,463924.396,0.0
2022-05-01 16:00:00,211.3,217.0,211.0,216.6,5971.881,2022-05-01 16:59:59.999,1277837.4365,3862.0,3449.816,738706.7184,0.0
2022-05-01 17:00:00,216.8,219.6,215.8,217.6,5596.244,2022-05-01 17:59:59.999,1220639.8115,3166.0,3197.493,697593.1578,0.0
2022-05-01 18:00:00,217.6,220.1,216.6,216.8,4703.741,2022-05-01 18:59:59.999,1027010.5648,2302.0,1925.525,420691.0385,0.0
2022-05-01 19:00:00,216.7,216.7,210.8,210.8,5808.459,2022-05-01 19:59:59.999,1243610.7828,3099.0,1689.162,360975.8421,0.0
2022-05-01 20:00:00,210.9,212.6,208.3,209.0,10023.915,2022-05-01 20:59:59.999,2110431.5806,3800.0,3813.911,803889.6184,0.0
2022-05-01 21:00:00,209.0,213.0,208.2,212.6,3186.415,2022-05-01 21:59:59.999,669267.4352,1807.0,1744.755,366698.8341,0.0
2022-05-01 22:00:00,212.7,212.8,209.5,211.9,3046.824,2022-05-01 22:59:59.999,643867.8978,1768.0,1706.676,360679.0657,0.0
2022-05-01 23:00:00,212.0,214.1,211.6,212.7,4470.934,2022-05-01 23:59:59.999,951360.9108,2978.0,2207.72,469790.2471,0.0
2022-05-02 00:00:00,212.7,214.0,211.7,211.9,3856.445,2022-05-02 00:59:59.999,820346.3083,2451.0,1608.167,342206.8954,0.0
2022-05-02 01:00:00,212.0,216.6,211.6,214.4,3955.009,2022-05-02 01:59:59.999,848148.8427,2487.0,2249.237,481729.5646,0.0
2022-05-02 02:00:00,214.4,215.2,211.4,211.4,2661.639,2022-05-02 02:59:59.999,568430.7916,1596.0,1236.75,264387.7885,0.0
2022-05-02 03:00:00,211.5,213.5,210.1,212.9,2719.822,2022-05-02 03:59:59.999,575230.8725,1707.0,1681.618,355771.3263,0.0
2022-05-02 04:00:00,212.9,214.6,212.9,213.3,5324.985,2022-05-02 04:59:59.999,1138129.8682,2431.0,3290.589,703572.94,0.0
2022-05-02 05:00:00,213.3,216.1,212.1,215.9,2825.171,2022-05-02 05:59:59.999,603681.2046,1735.0,1766.163,377534.8698,0.0
2022-05-02 06:00:00,215.9,216.0,213.3,214.8,1791.719,2022-05-02 06:59:59.999,384293.3576,1007.0,504.835,108246.4152,0.0
2022-05-02 07:00:00,214.8,216.0,214.5,214.7,1933.973,2022-05-02 07:59:59.999,416220.2953,1021.0,933.011,200802.3388,0.0
2022-05-02 08:00:00,214.5,215.6,213.6,213.7,3780.62,2022-05-02 08:59:59.999,810666.3707,1422.0,1395.135,299474.0539,0.0
2022-05-02 09:00:00,213.8,214.5,211.3,213.0,3871.699,2022-05-02 09:59:59.999,823599.1103,1955.0,2191.838,466202.4235,0.0
2022-05-02 10:00:00,213.1,214.8,212.4,212.9,2784.481,2022-05-02 10:59:59.999,593999.6354,1563.0,1302.681,277954.7179,0.0
2022-05-02 11:00:00,212.8,212.9,209.2,209.4,3292.18,2022-05-02 11:59:59.999,695781.3823,1876.0,1430.719,302500.818,0.0
2022-05-02 12:00:00,209.5,209.8,206.0,206.6,7937.485,2022-05-02 12:59:59.999,1648972.8991,4633.0,3309.474,687714.3703,0.0
2022-05-02 13:00:00,206.5,209.7,206.3,208.7,4821.375,2022-05-02 13:59:59.999,1004113.9607,2919.0,2760.58,574966.7522,0.0
2022-05-02 14:00:00,208.7,212.8,207.0,211.6,8950.36,2022-05-02 14:59:59.999,1882724.6548,5306.0,4454.972,937871.3711,0.0
2022-05-02 15:00:00,211.6,214.0,210.0,212.1,5737.821,2022-05-02 15:59:59.999,1217396.2367,3423.0,2873.577,610466.296,0.0
2022-05-02 16:00:00,212.1,212.4,209.5,210.8,4009.636,2022-05-02 16:59:59.999,845279.0325,1975.0,2120.486,447304.7469,0.0
2022-05-02 17:00:00,210.8,212.2,210.0,210.5,4414.713,2022-05-02 17:59:59.999,931217.8967,1885.0,1942.221,410041.9092,0.0
2022-05-02 18:00:00,210.5,210.6,206.5,207.5,4383.815,2022-05-02 18:59:59.999,914150.7091,2292.0,1715.542,357637.7284,0.0
2022-05-02 19:00:00,207.4,210.2,204.6,205.2,8799.733,2022-05-02 19:59:59.999,1823078.0644,4402.0,4332.711,898743.6771,0.0
2022-05-02 20:00:00,205.3,205.5,201.0,203.1,12029.355,2022-05-02 20:59:59.999,2440419.5939,7698.0,5402.143,1095561.3921,0.0
2022-05-02 21:00:00,203.1,204.6,197.1,198.6,9327.3,2022-05-02 21:59:59.999,1872301.8633,6534.0,3381.42,680136.8996,0.0
2022-05-02 22:00:00,198.6,199.3,196.1,199.3,6693.571,2022-05-02 22:59:59.999,1323439.5659,4397.0,3772.53,746165.2482,0.0
2022-05-02 23:00:00,199.3,206.3,196.4,197.7,32298.85,2022-05-02 23:59:59.999,6514606.8516,21734.0,15567.0,3140446.147,0.0
2022-05-03 00:00:00,197.7,203.0,197.4,199.6,12268.602,2022-05-03 00:59:59.999,2446989.2584,8535.0,6651.826,1327832.6956,0.0
2022-05-03 01:00:00,199.5,201.9,198.7,199.6,9862.392,2022-05-03 01:59:59.999,1975301.7353,5086.0,6531.333,1308381.7782,0.0
2022-05-03 02:00:00,199.6,205.0,199.4,204.4,6295.044,2022-05-03 02:59:59.999,1272998.0235,4788.0,4047.707,818205.6564,0.0
2022-05-03 03:00:00,204.4,204.8,203.0,203.5,6384.475,2022-05-03 03:59:59.999,1301846.1823,3456.0,3287.601,670528.758,0.0
2022-05-03 04:00:00,203.4,210.0,201.4,205.9,17875.162,2022-05-03 04:59:59.999,3669567.6316,17767.0,9468.45,1945267.0826,0.0
2022-05-03 05:00:00,205.9,207.5,204.8,206.7,6515.425,2022-05-03 05:59:59.999,1340980.7741,4152.0,3162.997,651204.741,0.0
2022-05-03 06:00:00,206.7,208.5,205.9,207.4,3217.051,2022-05-03 06:59:59.999,667646.3555,1868.0,1545.955,320834.7966,0.0
2022-05-03 07:00:00,207.4,209.3,206.2,208.2,3716.178,2022-05-03 07:59:59.999,772635.523,2385.0,1968.887,409231.7322,0.0
2022-05-03 08:00:00,208.2,208.3,204.8,206.4,4335.352,2022-05-03 08:59:59.999,896577.4804,2400.0,1712.048,354319.7226,0.0
2022-05-03 09:00:00,206.3,208.1,206.1,206.6,1622.409,2022-05-03 09:59:59.999,336378.89,1009.0,793.177,164460.2592,0.0
